sentence,label
"The Scott Morrison (ScoMo) Government is investing more than $700,000 for five important, much needed Local Roads and Community Infrastructure (LRCI) projects to benefit residents in the Town of Bassendean!",persuasive
"The circular economy is important to me, where things can be reused and have a second (or more life) that is good for our environment.",persuasive
"- HEALTH: record funding in hospitals and Telehealth is now permanent  - In Gilmore, there have been 602,120 telehealth consultations funded through Medicare since the start of the pandemic.",neutral
He's even voted against protecting Australia's fresh water.,persuasive
Don’t pit nature against new houses.,persuasive
That's a TRILLION dollars.,persuasive
Don't reward Labor's lies.,persuasive
“The resolution of the underlying land title will allow for new investment and tourism opportunities.,persuasive
Well done to everyone!,neutral
"Before Covid, the Libs had put us into a per capita recession.",persuasive
It will create around 100 ongoing jobs in our community once it is completed in a few years time.,persuasive
ABC Friends scored candidates running in the seat of Curtin on how they would work to protect and restore our ABC.,neutral
"As a father to of two kids, James knows the benefits of a quality early childhood education –and it doesn’t start at school.",neutral
"It's time to dump the major parties...  We can't afford to re-elect the same parties that have caused so much damage to our economy, our families and the Australian way of life!",persuasive
"And after getting away without penalty for using tax payer money to fund their red shirt election campaign, what was Andrews' response?",persuasive
"Michael Sukkar, prominent Australian Historian Professor Peter Stanley, Shadow Minister for Home Affairs, Senator the Hon.",neutral
Will they continue to drift?,persuasive
"Script: $0, my life and a volunteer writer, legend.",neutral
Read the rest of Tahnee Sullivan's blog post of the day's events in the link.,neutral
Sign up and join our campaign to help build a better future for Australia,persuasive
We can't let it happen again.,persuasive
How can the Liberal Party continue to support him?,persuasive
Don’t let Miranda go to prison for protecting women’s health.,persuasive
"Only an Albanese Labor Government will commit $700,000 to Inverleigh Youth Project.",persuasive
Sign up for Movement For Life today to protect Australia's incredible nature,persuasive
Vote to change the Government.,persuasive
"We are now in debt to the tune of $1,000,000,000,000.",persuasive
It’s a forgotten Australian true crime tale that is likely to become a modern day sensation and may even create ‘new’ queer heroes for today’s generation.,persuasive
"One Nation recognises the need to bolster the number of regional doctors, nurses, and other critical health professionals.",persuasive
"Since the commencement of the class action, more than $1.7 billion in financial benefit will have been provided to approximately 430,000 group members.",neutral
"This will create higher paying, LOCAL jobs, so we don’t need to travel so far away from our homes, to Sydney and Canberra everyday.",persuasive
The people of Maleny deserve better than an out of touch local member who doesn't think they need the internet!,persuasive
"From fires to pandemic, the welfare of the community is what I have and will continue to always fight for.",persuasive
"Paul Fletcher, Reverend Ray Willamson – President of the NSW Ecumenical Council, Australia’s Assistant Treasurer and Minister for Housing, the Hon.",neutral
"Vote for kids, not cuts.",persuasive
ICYMI.,neutral
Nicholls tops the list as most at-risk federal electorates by 2030 from Climate Change.,persuasive
Video budget: $0.,neutral
Our next Federal Government needs to stop funding climate pollution and instead fund climate solutions.,persuasive
"House prices are soaring, making it harder and harder for Canberrans to get their own place – and the major parties have no plan to help the ACT.",persuasive
That means higher taxes for you.,persuasive
Scott Morrison's cuts and neglect are hurting Forth Primary School.,persuasive
Making your life and the lives of those in our community easier is a key priority of mine.,persuasive
"This election put Liberal, Labor & Greens LAST on your ballot and vote for change.",persuasive
"*Jenny Hocking, Emeritus Professor, Monash University: award-winning political historian and biographer.",neutral
It is also raising the money for this spending responsibly through sensible taxation practices.,neutral
"The devastating bushfires of 2019-20 placed our wildlife on a fast-track to extinction, with nearly three billion animals perishing.",persuasive
"We are working to grow and protect the Hawkesbury's future, heritage and environment.",persuasive
https://greens.org.au/qld/volunteer,neutral
Only the Liberal's can be trusted with the budget.,persuasive
Covid isn’t over and staff shortages are making things tough for most local business'.,neutral
Want to help?,persuasive
DATE Thursday 21st April 2022 6:00 PM - 8:00 PM  LOCATION LOG CABIN EDEN DRINKS AND FOOD WILL BE PROVIDED    Click here to book your free tickets http://mua.org.au/save-shipping-eden,neutral
"Join us on BBQ with the community to meet your candidate in Reid, and consider joining the team that works very hard to get rid of the current Liberals-Labor-Greens dictatorship.",persuasive
Your vote DOES count.,persuasive
"Most politicians play a bit fast and loose with the truth, but is Scott Morrison the ninja warrior of porky pies?",persuasive
"Find out where and how here: https://vote.greens.org.au/ Come and help us out on the booths either during early voting or on Election Day (Saturday 21 May), so we can stop the major parties drowning us out and get these policies out to voters!",persuasive
"AJA is honoured to host a very special event with the new Ukraine Ambassador and someone who has become a friend to AJA and the Jewish community, HE Vasyl Myroshnychenko.",persuasive
"Further, Labor has already committed $30 million to building more housing and funding specialist services for veterans experiencing homelessness or at risk of homelessness.",neutral
It was great to have a tour of the site and check out the progress today.,neutral
"The Communications Manager (EL1) reports to the Senior Manager, Marketing, Communications and Digital Engagement (EL2).",neutral
"The Greens plan to fix our health services and make dental and mental health care free for all who need it, not just those who can afford it.",persuasive
MEDICARE URGENT CARE CLINICS FOR THE CENTRAL COAST An Albanese Labor Government has committed to TWO Medicare Urgent Care Clinics on the Central Coast.,neutral
"The entire farm is carbon neutral, with a vineyard, winery, cellar door, accommodation & the potential to value add with timber harvesting, livestock production and a previous development approval for eco-tourism cabins.",neutral
Providing costings is real accountability and transparency.,neutral
"We’ve abandoned many young people to poverty, education injustice, digital injustice, family violence injustice, mental health injustice.",persuasive
It becomes apparent that the practice of architecture is very different to studying architecture.,neutral
"Gladys Berejiklian MP, Speaker of NSW Parliament's Legislative Assembly - Hon.",neutral
The first tunneling package alone will be the longest in Victoria’s history – delivering around 16 kilometres of twin tunnels between Cheltenham and Glen Waverley.,neutral
"This is the first time this hidden gem ‘Gibraltar Park’ has been offered for sale, two decades of hard work, planning & development.",persuasive
A staggering 48.72% of you gave him your first preference.,neutral
Opportunity to work with a high-performing and passionate team in the Victorian Public Service until 30 June 2024,neutral
"MORE SUPPORT FOR  - APPRENTICES: We already have 2,610 apprentices in Gilmore and new measures in the Budget will lead to more opportunities for apprentices and trainees with expanded wage subsidies.",neutral
Fiona Martin's Background is a small business owner and she knows what business owners need.,neutral
"Instead of waiting for government handouts, it's time AGL transitioned to cheaper, cleaner renewable energy.",neutral
https://www.thewinepoint.com.au/shop/fundraisingwines/election2022/,neutral
This luminescent interior is framed by the rectilinear form of a charred Tasmanian Oak building envelope that deliberately recedes into a landscape dotted with blackened grass tree stumps and banksia husks.,neutral
"Vote for kids, not cuts.",persuasive
"We were welcomed to the site by our hosts with a smoking ceremony, which was followed by a shared meal of locally caught seafood and mutton bird, damper seasoned with native herbs and fresh salads.",neutral
Your donations DO matter.,persuasive
"#letsdothistogether I will not be delegating preferences to anyone (because this is only a recommendation via ""How To Vote"" cards, a form of advertising which I won't be using).",neutral
Visit our site to learn more about the issue.,neutral
"After a decade in office, more Morrison means more of the same.",persuasive
The Animal Justice Party is the only political party willing to stand up against all causes of climate change.,persuasive
https://www.crikey.com.au/2022/03/30/concetta-fierravanti-wells-morrison-speech/,neutral
"The Animal Justice Party will fight to sign Australia up to the 30% methane emissions reduction by 2030 target, as over 100 other countries have done, and commit to net-zero emissions by 2035.",persuasive
"On May 21, Australia has a clear choice with real consequences.",persuasive
"During this time, our group gathered around the open-air fire pit, chatted freely, and took a respite from the wind under the architecture, which humbly references the architecture of traditional bark huts.""",neutral
Only Anthony Albanese  and I have a real plan for a better future for Far North Queensland.,persuasive
"If you want to help keep us in the air through the closing stages of this election, less than 3 weeks to go, you can go to his website www.garybiggs.com.au and donate Each flight is $1200 so please be generous",persuasive
TALE OF 2 CITIES & COUNCILLOR REMUNERATION WHY IS IT SO ?,neutral
But I will say this.,neutral
"It's hard to watch,  but we encourage everyone to share this widely, so as many people as possible can see what's at stake for our Biloela family.",persuasive
We believe Super is your money and that young people should be free to decide to invest into super or into a first home.,persuasive
This is abandonment.,persuasive
"Melbourne, VIC.",neutral
These clinics are for when you are too sick for a GP but not sick enough for the emergency department.,neutral
Barnaby Joyce and the National Party are already holding the government to ransom on climate policy.,persuasive
"“This land that has been returned is the traditional country of the Limilngan/Minitja, Murumburr, Garndidjbal, Yurlkmanj, Wurngomgu, Bolmo, Wurrkbarbar, Matjba, Uwinymil, Bunidj, Djindibi, Mirrar Gundjeihmi and Dadjbaku peoples.” Mr Bush-Blanasi said the return of land to the Traditional Owners heralds a range of new and exciting opportunities.",persuasive
Give your support to Ukraine today.,persuasive
It is fully costed and it is backed by the most extensive independent modelling ever carried out for an Opposition.,neutral
Using the heavy rail corridor for light rail instead will never be viable as that would mean heavy rail would never be connected to the airport which no-one supports.,neutral
"Sessions are open to people living with HIV, currently residing in Queensland.",persuasive
"We must also provide support for victims through safe animal-friendly homes and shelters, in order to grant more people the ability to flee violent situations.",persuasive
🤯 https://icacpls.github.io/salary-breakdowns.html In his flyer he mentions 4 projects 1.,neutral
Today was fine so off we went – Down to Ballina via Mullumbimby then all the way up the Coast to Tweed Heads.,neutral
Remember Citipointe Christian College and their outrageous anti-LGBTQIA+ contract for kids?,persuasive
The SES has made a trip to my campaign office to pick up some corflutes from previous campaigns.,neutral
"More carers with more time to care, and registered nurses on site 24/7.",persuasive
The Liberals are tanking our economy.,persuasive
Sign the petition now: bit.ly/Miranda-Ruiz,neutral
"Brain Owler - Clinical Professor for Neurosurgery at the University of Sydney, Chair of the House of Representatives Standing Committee on Tax and Revenue - Jason Falinski MP, Metropolitan of the Assyrian Church of the East - Archbishop Mar Meelis Zaia, Chair of the House of Representatives Standing Committee on Economics - Tim Wilson MP, Eparch of the Maronite Diocese of St Maroun - Bishop Antoine Charbel Tarabay, Chair of the Australian Senate's Foreign Affairs, Defence and Trade Committee - Senator the Hon.",neutral
"Your pay has not kept up with the rising cost of living for too long, and only an Albanese Labor Government has a plan to get it moving again.",persuasive
"Today, I took the Prime Minister Scott Morrison (ScoMo)to meet Shannie, now 2 years old, and to announce $2 million in funding, which will deliver more assistance dogs for people living with a physical disability, PTSD or autism, to improve their independence and quality of life.",persuasive
"$2 million for new assistance dogs training facility  In 2020 I met with the Assistance Dogs Australia team and beautiful assistance-puppy-in-training Shannie, to hear about plans for a national assistance dog training facility in Orchard Hills.",neutral
Don't risk our economic recovery and national security,persuasive
"Palm Beach residents have a right to know before they vote, and it is Ms Andrews job to take responsibility for her own policy and tell local residents the detail because people’s homes I fear may be at stake.",neutral
FAR SOUTH COAST EVENT ALERT You are invited to a special MUA event.,neutral
Now let's see what else he has been up to  KEY POINTS OF ROBODEBT CLASS ACTION The Representative Applicants commenced the Robodebt Class Action on 19 November 2019.,persuasive
Ms Andrews is refusing to say publicly which route through Palm Beach she supports for a future light rail connection to the airport which is betrayal of all Palm Beach residents.,neutral
So the 'party of business' has failed us on the one thing they hold dear.,persuasive
Finding it hard to get ahead?,persuasive
"My name is Mackenzie Severns, I’m 22 and ready to create change in the Senate.",neutral
"Suite D, 263-279 Broadway, Glebe NSW 2037",neutral
"Together, with the Australian Friends of Artsakh and our community, the Armenian National Committee of Australia will continue #MovingMountains to keep #ArtsakhStrong.",persuasive
"EXCLUSIVE: In 1888, in front of 20,000 people, 21-year-old Gordon Lawrence caused a riot after being arrested in the middle of Melbourne for “female impersonation”.",persuasive
The Greens are the only party committed to ending fossil fuels and taking genuine climate action this decade.,persuasive
Truth really does matter.,persuasive
"Time to end nine long years of atrocious right-wing governments festering with vested interest, corruption and lies?",persuasive
Under Scott Morrison it's harder to see a doctor and the cost of living has skyrocketed.,persuasive
GCPHN has an exciting opportunity for a Project Support Officer (Special Projects and Commissioned Services) to join their team on the Gold Coast on a full-time contract basis to 30 June 2023.,neutral
"Only a Labor Government will invest in jobs and innovation in Perth’s northern suburbs, creating jobs closer to home.",persuasive
Follow me for the latest news and information.,neutral
An important message this election….,neutral
"I was selected by our community, to run FOR our community.",persuasive
"Other LRCI funded projects in the Town of Bassendean include:   $33,400 for Bindaring Park upgrades  $72,500 for paths and earthworks at Mary Crescent Reserve   $61,900 to replace playground equipment at Padbury Park  $73,000 to repair Success Hill Jetty to repair the recreational fishing jetty",persuasive
You can't trust Labor with the economy when they don't even know the basics.,persuasive
This election is more important than ever.,persuasive
"That’s right, teachers can lose their jobs for being in a same-sex relationship.",persuasive
"Find out how to vote for Fiona Phillips, your federal Labor MP.",neutral
Like this page to join the stand against violence against women in Australia.,persuasive
You are MORONIC !,persuasive
Don't risk our economy.,persuasive
"We can also do a better job of protecting our environment and historic villages for future generations, instead of selling it all off to the highest bidder.",persuasive
Then this is for you.,persuasive
Only an Albanese Labor Government will fix aged care.,persuasive
With most of it not delivered and pretty much all of it being done by someone else.,neutral
The horrific scenes of destruction and suffering must have an impact on anyone who sees them.,persuasive
"John Dowd, Premier of New South Wales - Hon.",neutral
Scott Morrison's cuts and neglect are hurting Kings Meadows High School.,persuasive
"This new facility, supported by the Palaszczuk Government, will play a key role in the expansion of the Alliance fleet.",neutral
"Voting AGAINST government action on plant and animal extinctions, against protecting the Great Barrier Reef, and against our right to say no to Nuclear Waste in our own back yard.",persuasive
The majors will do nothing and the independent will only commit if it doesnt impact people financially...  How you vote matters.,persuasive
"We seem to deem them too costly, invisible, or able to be demonised.",neutral
"And of course, we can have more consultative, transparent representation.",neutral
The climate crisis is here.,persuasive
"If nothing is changed, nothing changes.",persuasive
Some parties still believe they don’t matter.,neutral
FUSION - PUTTING CLIMATE EMERGENCY ON THE BALLOT PAPER,persuasive
"45 years of unfinished business’ resolved with handback of land at Kakadu Traditional Owners of the land in the Northern Territory’s Kakadu region celebrated the long-overdue return of their ancestral lands to their control following the delivery of the Deeds of Title to large tracts of the Kakadu National Park by the Minister for Indigenous Australians, the Honourable Ken Wyatt AM MP.",persuasive
Investing in regional tourism - Not sure what he had to do with this as this was not his portfolio at all and seems to be a Destination Gold Coast initiated  https://www.mygc.com.au/gold-coast-tourism-given-10m-boost-ahead-of-border-reopening/ That is it?,persuasive
Scott Morrison tried to force our Biloela family to danger.,persuasive
"ARC COUNCILLOR BASE SALARIES & CAR:- * Mayor - $86,000 pa + Super + Car * 10 x Councillors - $28,000 pa + Super & No Car WRC COUNCILLOR BASE SALARIES & CAR:- * Mayor - $135,000 pa + Super + Car * 10 x Councillors - $72,000 pa (average) + Super + Car (we think) ARC has recently voted to reduce their number of Councillors from 11 to 9 STOP  THE PRESS:- WRC Councillors are now discussing an Application that takes their Salaries & Benefits HIGHER to Level 5. .",neutral
"Fought and won the High Court case which forced the National Archives to release the “Palace Letters”, revealing the true extent of Buckingham Palace’s involvement in the 1975 dismissal of Australian PM, Gough Whitlam.",neutral
"Many help by pairing graduates with an experienced graduate, registered architect, or even an architect who has achieved the highest levels of success in our industry.",neutral
"The National Film and Sound Archive of Australia (NFSA) is the national agency concerned with the visibility, usability and sustainability of Australia’s audio-visual heritage.",neutral
Send them a text message now and demand they withdraw all discriminatory contracts!,persuasive
"For a copy of the information memorandum or to view the business financials, please contact exclusive marketing agent Dan Dwan of Colliers Toowoomba.",neutral
"Our incredible veterans’ serve us, so it’s only right the federal government serves them.",persuasive
VOTE 1 - PETER HOOD Mayoral Candidate - Whitsunday Regional Council  WELCOME TO THE REAL WORLD:- • Smash the Wastage  • Improve the Quality & Delivery of Services • 50% of Mayoral Salary back to The Communities  My Politics = Independent with 470+ Accounting Clients throughout ALL 6 Divisions of WRC.,persuasive
Authorised by D. Hayden for The Greens NSW.,neutral
NOT a political party.,neutral
"That means we get very little Federal investment, because the Libs think that they will win, every time.",persuasive
"It’s too important for our economy, and our communities, here in Eden-Monaro.",persuasive
